sweep,n_makers,adverse_frac,adverse_cost,elasticity,epsilon_decay,alpha,maker_rebate,taker_fee,tie_rule,tick_size,memory,priority_share,allocation_noise,maker_rebates,maker_costs,latency_cost,seed,periods,collusion_index,mean_spread,avg_profit,nash_spread,monopoly_spread,punishment_magnitude
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,16,500000,0.6035070924758003,0.7166309999999999,0.11613908020371806,0.2,1.0,0.4
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,7,500000,0.7724549725910291,0.5999959999999998,0.13719154222358518,0.2,1.0,0.6666666666666666
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,16,500000,0.8231201916721689,0.9665949999999999,0.14350489519200632,0.2,1.0,0.5675675675675675
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,9,500000,0.8525798043909167,0.699762,0.14717583428552106,0.2,1.0,0.14285714285714296
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,17,500000,0.7722747728959948,0.5999289999999998,0.13716908768178734,0.2,1.0,0.0
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,split,,1,0.7,12.0,,,0.0,2,500000,0.7723130686188941,0.5999909999999997,0.13717385968159765,0.2,1.0,-0.3333333333333335
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,2,500000,0.6253108794084492,0.8998560000000001,0.11885603288744392,0.2,1.0,0.8333333333333334
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,17,500000,0.622231832795024,0.833247,0.11847235531870307,0.2,1.0,-0.4814814814814814
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,queue_priority,,1,0.7,12.0,,,0.0,13,500000,0.49530808726622144,0.7999610000000003,0.10265648754728178,0.2,1.0,0.4285714285714286
queue_position,2,0.5,0.2,1.0,2e-05,0.125,0.0,0.0,winner_take_all,,1,0.7,12.0,,,0.0,3,500000,0.4782958002387094,0.725015,0.10053659988563428,0.2,1.0,-0.052631578947368474
